Date,AAPL,NVDA,SPY,TSLA
2022-06-27,138.87229919433594,16.84190559387207,369.3009338378906,244.9199981689453
2022-06-28,134.7353057861328,15.956329345703125,361.7550354003906,232.663330078125
2022-06-29,136.49008178710938,15.517033576965332,361.46044921875,228.49000549316406
2022-06-30,134.02944946289062,15.134650230407715,358.5238342285156,224.47332763671875
2022-07-01,136.1959991455078,14.49967098236084,362.3157043457031,227.26333618164062
2022-07-05,138.7742156982422,14.939964294433594,363.0,233.06666564941406
2022-07-06,140.1074676513672,15.105695724487305,364.2260437011719,231.73333740234375
2022-07-07,143.469970703125,15.832526206970215,369.6811218261719,244.5433349609375
2022-07-08,144.1463623046875,15.812559127807617,369.37689208984375,250.76333618164062
2022-07-11,142.01910400390625,15.127660751342773,365.1573486328125,234.3433380126953
2022-07-12,142.9895782470703,15.057775497436523,361.92608642578125,233.07000732421875
2022-07-13,142.62692260742188,15.139641761779785,360.0254211425781,237.0399932861328
2022-07-14,145.5482635498047,15.347306251525879,359.1510009765625,238.31333923339844
2022-07-15,147.21478271484375,15.73668098449707,366.0127258300781,240.06666564941406
2022-07-18,144.17581176757812,16.075138092041016,362.990478515625,240.54666137695312
2022-07-19,148.02847290039062,16.96470832824707,372.7982482910156,245.52999877929688
2022-07-20,150.02830505371094,17.77839469909668,375.1741638183594,247.5
2022-07-21,152.2928466796875,18.021005630493164,378.99456787109375,271.7066650390625
2022-07-22,151.05763244628906,17.29117774963379,375.478271484375,272.24334716796875
2022-07-25,149.9401092529297,16.996652603149414,375.9344482421875,268.4333190917969
2022-07-26,148.61663818359375,16.506439208984375,371.4867858886719,258.8599853515625
2022-07-27,153.7045135498047,17.761425018310547,381.1329040527344,274.82000732421875
2022-07-28,154.25347900390625,17.955108642578125,385.9132385253906,280.8999938964844
2022-07-29,159.31192016601562,18.133825302124023,391.5393371582031,297.1499938964844
2022-08-01,158.33164978027344,18.411380767822266,390.3798828125,297.27667236328125
2022-08-02,156.8611602783203,18.49624252319336,387.8044738769531,300.586669921875
2022-08-03,162.8607177734375,18.862651824951172,393.8773193359375,307.39666748046875
2022-08-04,162.5469970703125,19.18413734436035,393.6111755371094,308.6333312988281
2022-08-05,162.3212127685547,18.958499908447266,392.9458923339844,288.1700134277344
2022-08-08,161.85000610351562,17.76441764831543,392.48974609375,290.42333984375
2022-08-09,161.89907836914062,17.058555603027344,390.9311218261719,283.3333435058594
2022-08-10,166.13995361328125,18.067928314208984,399.14227294921875,294.3566589355469
