id,question,start_date,end_date,prob,volume,liquidity
559659,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,2025-07-11T18:36:05.047Z,2028-11-07T00:00:00Z,"[""0.0125"", ""0.9875""]",9555761.681851134,555426.45822
559660,Will Andy Beshear win the 2028 Democratic presidential nomination?,2025-07-11T18:36:04.79Z,2028-11-07T00:00:00Z,"[""0.0265"", ""0.9735""]",11954999.394368913,478651.72116
559661,Will Jon Ossoff win the 2028 Democratic presidential nomination?,2025-07-11T18:36:06.838Z,2028-11-07T00:00:00Z,"[""0.0635"", ""0.9365""]",11141505.82632488,267935.2949
559662,Will Mark Cuban win the 2028 Democratic presidential nomination?,2025-07-11T18:36:08.958Z,2028-11-07T00:00:00Z,"[""0.0095"", ""0.9905""]",21764492.277792312,1846908.47954
559663,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,2025-07-11T18:36:09.214Z,2028-11-07T00:00:00Z,"[""0.0165"", ""0.9835""]",14344923.342279026,483287.16645
559664,Will Raphael Warnock win the 2028 Democratic presidential nomination?,2025-07-11T18:36:11.106Z,2028-11-07T00:00:00Z,"[""0.0075"", ""0.9925""]",28950610.64324331,1710808.40715
559665,Will Cory Booker win the 2028 Democratic presidential nomination?,2025-07-11T18:36:10.848Z,2028-11-07T00:00:00Z,"[""0.0095"", ""0.9905""]",24013006.34418589,1714506.06826
559666,Will Tim Walz win the 2028 Democratic presidential nomination?,2025-07-11T18:36:13.472Z,2028-11-07T00:00:00Z,"[""0.0065"", ""0.9935""]",40403664.64227038,2061256.0214
559667,Will Michelle Obama win the 2028 Democratic presidential nomination?,2025-07-11T18:36:12.961Z,2028-11-07T00:00:00Z,"[""0.0145"", ""0.9855""]",25088342.33395827,1765554.64587
559668,Will Mark Kelly win the 2028 Democratic presidential nomination?,2025-07-11T18:36:13.216Z,2028-11-07T00:00:00Z,"[""0.0215"", ""0.9785""]",15224707.971241465,451044.42332
559669,Will Rahm Emanuel win the 2028 Democratic presidential nomination?,2025-07-11T18:36:13.728Z,2028-11-07T00:00:00Z,"[""0.0235"", ""0.9765""]",13580534.835332984,713057.35577
559670,Will Gina Raimondo win the 2028 Democratic presidential nomination?,2025-07-11T18:36:14.926Z,2028-11-07T00:00:00Z,"[""0.0075"", ""0.9925""]",32324158.36073794,2228110.09642
559671,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,2025-07-11T18:36:16.021Z,2028-11-07T00:00:00Z,"[""0.0075"", ""0.9925""]",36139342.70599004,2165272.2311
559672,Will Roy Cooper win the 2028 Democratic presidential nomination?,2025-07-11T18:36:16.276Z,2028-11-07T00:00:00Z,"[""0.0095"", ""0.9905""]",30256229.64015143,1547813.72666
559673,Will John Fetterman win the 2028 Democratic presidential nomination?,2025-07-11T18:36:16.532Z,2028-11-07T00:00:00Z,"[""0.0085"", ""0.9915""]",19672919.767693214,1489746.50509
559674,Will Jared Polis win the 2028 Democratic presidential nomination?,2025-07-11T18:36:18.32Z,2028-11-07T00:00:00Z,"[""0.0075"", ""0.9925""]",25294748.846986037,707549.5552
559675,Will Jon Stewart win the 2028 Democratic presidential nomination?,2025-07-11T18:36:18.064Z,2028-11-07T00:00:00Z,"[""0.0125"", ""0.9875""]",22994485.172353107,1051544.92318
559676,Will Barack Obama win the 2028 Democratic presidential nomination?,2025-07-11T18:36:22.421Z,2028-11-07T00:00:00Z,"[""0.0075"", ""0.9925""]",29692310.52895773,2076037.31134
559677,Will Hillary Clinton win the 2028 Democratic presidential nomination?,2025-07-11T18:36:22.165Z,2028-11-07T00:00:00Z,"[""0.0075"", ""0.9925""]",41810689.478904665,2387499.45463
559678,Will Liz Cheney win the 2028 Democratic presidential nomination?,2025-07-11T18:36:22.676Z,2028-11-07T00:00:00Z,"[""0.0075"", ""0.9925""]",36087361.184363775,1397909.80713
559679,Will Bernie Sanders win the 2028 Democratic presidential nomination?,2025-07-11T18:36:22.931Z,2028-11-07T00:00:00Z,"[""0.0075"", ""0.9925""]",49448170.57655442,1481820.46477
559680,Will Phil Murphy win the 2028 Democratic presidential nomination?,2025-07-11T18:36:27.287Z,2028-11-07T00:00:00Z,"[""0.0065"", ""0.9935""]",39427116.66621961,2586165.71196
