Date,ARB,AVAX,BTC,DOGE,ETH,INJ,LINK,MATIC,SOL
2022-01-20,0.0020989999175071716,79.0684585571289,40680.41796875,0.15520399808883667,3001.1201171875,6.109960079193115,20.195138931274414,1.960373044013977,127.20528411865234
2022-01-21,0.0018230000277981162,65.92256164550781,36457.31640625,0.14263999462127686,2557.931640625,5.233137130737305,17.426189422607422,1.698989987373352,111.96605682373047
2022-01-22,0.0017519999528303742,59.72904968261719,35030.25,0.13289199769496918,2405.18115234375,4.303002834320068,15.82758617401123,1.530622959136963,94.1783676147461
2022-01-23,0.0018139999592676759,64.72541046142578,36276.8046875,0.14186300337314606,2535.0390625,4.407742023468018,16.56523323059082,1.6162480115890503,99.5782241821289
2022-01-24,0.001832999987527728,62.87763214111328,36654.328125,0.1377979964017868,2440.352294921875,4.190606117248535,15.584161758422852,1.5075730085372925,91.65016174316406
2022-01-25,0.0018479999853298068,67.90058898925781,36954.00390625,0.14304900169372559,2455.93505859375,4.3962249755859375,15.527324676513672,1.5585379600524902,94.72035217285156
2022-01-26,0.00184299994725734,65.99578857421875,36852.12109375,0.14378899335861206,2468.0302734375,4.349367141723633,15.270565032958984,1.5910550355911255,92.23804473876953
2022-01-27,0.0018570000538602471,64.69680786132812,37138.234375,0.1412470042705536,2423.001220703125,4.220522880554199,15.18051815032959,1.591683030128479,89.63249206542969
2022-01-28,0.0018860000418499112,67.12731170654297,37784.33203125,0.14165599644184113,2547.092041015625,4.492609977722168,16.1232852935791,1.679216980934143,91.31289672851562
2022-01-29,0.0019069999689236283,72.12027740478516,38138.1796875,0.1430560052394867,2597.084716796875,4.409113883972168,16.205904006958008,1.694964051246643,96.2234878540039
2022-01-30,0.001896000001579523,67.97378540039062,37917.6015625,0.13947099447250366,2603.466552734375,4.302789211273193,17.76853370666504,1.605329990386963,93.29767608642578
2022-01-31,0.0019239999819546938,69.99242401123047,38483.125,0.1418049931526184,2688.27880859375,4.213630199432373,17.240427017211914,1.6439210176467896,99.73883819580078
2022-02-01,0.0019369999645277858,73.44881439208984,38743.2734375,0.14263099431991577,2792.1171875,4.31976318359375,17.0242919921875,1.6475930213928223,109.9789810180664
2022-02-02,0.0018479999853298068,67.87997436523438,36952.984375,0.13723500072956085,2682.85400390625,4.071735858917236,15.819188117980957,1.5418850183486938,101.83760070800781
2022-02-03,0.0018579999450594187,68.10771942138672,37154.6015625,0.1375409960746765,2679.16259765625,4.120192050933838,16.178110122680664,1.550246000289917,101.45903778076172
