Date,AAPL,ABBV,AFRM,AMD,AMT,AMZN,AVGO,BAC,BNTX,C,COIN,COST,CVX,DDOG,GOOGL,GS,HD,HOOD,INTC,JNJ,JPM,MARA,META,MRNA,MRO,MS,MSFT,MSTR,MU,NET,NVDA,O,OXY,PFE,PLD,PLTR,PYPL,QCOM,QQQ,RIOT,SMCI,SNOW,SOFI,SPG,SPY,SQ,TGT,TSLA,UPST,WFC,WMT,XOM,ZS
2021-03-26,117.9493179321289,86.80439758300781,69.72000122070312,77.41000366210938,204.17710876464844,152.60150146484375,43.61215591430664,34.256195068359375,94.50822448730469,60.991783142089844,,332.79205322265625,86.48595428466797,80.29000091552734,100.40665435791016,290.3363952636719,268.86041259765625,,59.00008773803711,143.2222900390625,135.88096618652344,36.09000015258789,280.8163146972656,133.27999877929688,,67.79466247558594,226.9166259765625,62.400001525878906,85.8155288696289,67.56999969482422,12.806970596313477,47.903419494628906,26.04363250732422,27.78152084350586,92.6552734375,22.579999923706055,239.74819946289062,119.21490478515625,306.6558837890625,48.220001220703125,3.816999912261963,235.0,17.100000381469727,86.8995132446289,369.83856201171875,,172.1331024169922,206.23666381835938,142.9499969482422,35.17266845703125,42.092987060546875,47.32910919189453,169.77999877929688
2021-03-29,118.12449645996094,87.41869354248047,69.98999786376953,77.13999938964844,206.75047302246094,153.7864990234375,42.759891510009766,33.92852020263672,94.65626525878906,59.78898239135742,,336.6965026855469,86.03534698486328,77.04000091552734,101.45101165771484,288.8642578125,267.4356689453125,,58.66355895996094,144.18618774414062,133.7694854736328,38.130001068115234,288.55560302734375,123.41999816894531,,66.01461791992188,225.72682189941406,63.13399887084961,84.45011138916016,65.62999725341797,12.91569709777832,47.895973205566406,25.33062171936035,28.065082550048828,92.6465835571289,21.729999542236328,234.4167022705078,117.67308044433594,306.568603515625,47.88999938964844,3.746999979019165,223.49000549316406,16.440000534057617,86.24778747558594,369.6518249511719,,169.78602600097656,203.76333618164062,134.49000549316406,34.00495910644531,42.57270050048828,47.07487869262695,165.75
2021-03-30,116.67457580566406,87.46784210205078,66.38999938964844,76.0,202.74929809570312,152.76449584960938,41.27068328857422,34.53073501586914,103.07476043701172,60.94166564941406,,330.64605712890625,85.2387466430664,77.37000274658203,101.48473358154297,294.4334411621094,269.7541809082031,,57.9996223449707,143.29180908203125,135.34652709960938,44.13999938964844,285.75750732421875,118.48999786376953,,67.0402603149414,222.473876953125,65.39800262451172,84.40135955810547,65.80000305175781,12.839388847351074,47.82884979248047,25.640222549438477,27.67422103881836,92.6379165649414,22.040000915527344,235.28207397460938,116.63321685791016,305.0256042480469,51.5099983215332,3.7939999103546143,222.07000732421875,16.5,87.44513702392578,368.6711730957031,,171.01950073242188,211.8733367919922,129.27999877929688,34.8453483581543,42.28300094604492,46.49258804321289,165.7899932861328
2021-03-31,118.8640365600586,88.63909149169922,70.72000122070312,78.5,204.3822784423828,154.70399475097656,41.94924545288086,34.26504898071289,107.7626724243164,60.76625442504883,,333.2269287109375,84.32140350341797,83.33999633789062,102.28064727783203,289.9904479980469,270.1347351074219,,58.20880889892578,142.71865844726562,133.375244140625,48.02000045776367,292.2366638183594,130.9499969482422,,65.82811737060547,226.23536682128906,67.87999725341797,86.03005981445312,70.26000213623047,13.314692497253418,47.54059982299805,24.974117279052734,27.76618766784668,91.97843933105469,23.290000915527344,241.54856872558594,118.85633850097656,309.6933288574219,53.27000045776367,3.9059998989105225,229.27999877929688,17.149999618530273,86.21746063232422,370.1654052734375,,169.66607666015625,222.64332580566406,128.86000061035156,34.56227493286133,42.31104278564453,45.78729248046875,171.6699981689453
2021-04-01,119.6911849975586,88.88480377197266,71.44999694824219,81.08999633789062,205.23721313476562,158.0500030517578,43.06117248535156,34.973548889160156,112.3814926147461,61.09200668334961,,335.5525817871094,85.0938720703125,87.19999694824219,105.6160659790039,290.5580139160156,272.3471984863281,,58.709041595458984,141.39874267578125,134.67190551757812,48.849998474121094,296.33453369140625,132.5500030517578,,66.30282592773438,232.5492401123047,70.35600280761719,90.12628173828125,71.79000091552734,13.77702808380127,48.74595642089844,25.687124252319336,27.819839477539062,94.14773559570312,23.06999969482422,246.2235870361328,123.51773071289062,314.97247314453125,52.029998779296875,3.9600000381469727,236.7899932861328,17.270000457763672,87.30113220214844,374.16290283203125,,171.93606567382812,220.5833282470703,144.27999877929688,35.05766296386719,42.24562072753906,47.06667709350586,175.77000427246094
2021-04-05,122.51317596435547,86.93544006347656,69.38999938964844,81.43000030517578,209.24691772460938,161.3365020751953,44.1948127746582,35.248111724853516,113.86188507080078,60.76625442504883,,341.1114196777344,84.09608459472656,83.23999786376953,110.03852844238281,286.92205810546875,279.11712646484375,,60.51897048950195,141.91973876953125,135.38577270507812,56.560001373291016,306.5047607421875,129.91000366210938,,66.1163101196289,238.9975128173828,72.05500030517578,91.43317413330078,71.16999816894531,13.952335357666016,48.85076904296875,23.7451171875,27.804508209228516,94.03494262695312,23.440000534057617,249.68508911132812,125.79463958740234,321.26092529296875,56.900001525878906,4.0,232.32000732421875,16.719999313354492,87.18748474121094,379.5333557128906,,175.90211486816406,230.35000610351562,140.52000427246094,34.92496109008789,43.43244934082031,46.33677291870117,175.19000244140625
2021-04-06,122.81483459472656,86.31295776367188,73.0,81.44000244140625,208.2466278076172,161.1909942626953,43.7777214050293,35.15067672729492,115.61861419677734,60.64094161987305,,340.4496154785156,83.34776306152344,88.88999938964844,109.55751037597656,290.04364013671875,277.6835632324219,,59.62764358520508,141.88499450683594,134.43389892578125,52.45000076293945,303.8753356933594,133.52999877929688,,67.0402603149414,237.8364715576172,70.45800018310547,91.17960357666016,72.20999908447266,13.826651573181152,48.760955810546875,23.782644271850586,27.62824249267578,94.85928344726562,23.270000457763672,251.84353637695312,123.75977325439453,321.0377502441406,54.099998474121094,3.936000108718872,236.00999450683594,17.260000228881836,88.27874755859375,379.3091735839844,,175.9706268310547,230.5399932861328,144.3000030517578,35.252281188964844,43.64113998413086,46.20555877685547,182.1199951171875
2021-04-07,124.45935821533203,86.17373657226562,71.5,82.19999694824219,209.2127227783203,163.96949768066406,43.65016555786133,35.46950912475586,111.83867645263672,60.71612548828125,,339.211181640625,83.8386001586914,86.5999984741211,111.03380584716797,289.5913391113281,276.524169921875,,60.255218505859375,142.07606506347656,136.54025268554688,46.2599983215332,310.6521911621094,131.47000122070312,,66.99786376953125,239.7939453125,65.62000274658203,91.63798522949219,70.05000305175781,14.10794448852539,49.07537078857422,23.73573112487793,27.520946502685547,95.1282730102539,22.899999618530273,254.24072265625,124.98783874511719,321.8140869140625,48.369998931884766,3.934000015258789,233.97000122070312,17.200000762939453,88.67282104492188,379.74810791015625,,175.13119506835938,223.6566619873047,126.06999969482422,35.37612533569336,43.547691345214844,46.410587310791016,180.02000427246094
2021-04-08,126.85320281982422,86.9026870727539,69.80999755859375,83.3499984741211,206.13491821289062,164.96499633789062,43.92338562011719,35.15953826904297,112.9933853149414,60.41542434692383,,341.4895935058594,82.89712524414062,88.31999969482422,111.5991439819336,293.66192626953125,278.2586669921875,,60.98282241821289,141.5203094482422,136.70773315429688,49.81999969482422,310.5826721191406,133.8800048828125,,67.98114013671875,243.0084686279297,69.01200103759766,92.93512725830078,72.36000061035156,14.281005859375,48.97056579589844,23.200971603393555,27.559261322021484,94.09567260742188,23.40999984741211,263.0933837890625,125.80361938476562,325.17169189453125,49.54999923706055,3.9579999446868896,233.75,18.139999389648438,87.61527252197266,381.5507507324219,,174.28317260742188,227.93333435058594,123.33000183105469,35.41150665283203,43.51964569091797,45.92671203613281,185.19000244140625
2021-04-09,129.42218017578125,88.0821304321289,70.70999908447266,82.76000213623047,205.5193328857422,168.61000061035156,43.88810348510742,35.4163703918457,120.54338073730469,60.49060821533203,,343.370849609375,82.816650390625,88.80000305175781,112.60283660888672,293.3692321777344,282.5065002441406,,62.08334732055664,140.0266571044922,137.7300262451172,49.0,310.02703857421875,140.9199981689453,,68.42191314697266,245.5033416748047,71.0999984741211,92.94485473632812,70.87999725341797,14.363797187805176,48.80585479736328,23.069631576538086,28.049755096435547,95.0241470336914,24.040000915527344,265.351318359375,126.00980377197266,327.1416320800781,49.630001068115234,3.9679999351501465,226.88999938964844,17.770000457763672,88.82608795166016,384.3245849609375,,175.91067504882812,225.67333984375,127.29000091552734,35.82728958129883,43.54146957397461,45.820098876953125,185.0399932861328
